Q_1_1,Q_1_2,Q_1_3,Q_1_4,Q_1_5,Q_2_1,Q_2_2,Q_2_3
4,4,4,4,4,8,10,5
4,4,4,4,4,4,4,3
4,4,3,3,2,6,6,6
3,3,3,3,3,10,9,1
3,4,4,4,4,7,7,4
4,4,3,4,4,5,5,4
3,2,4,4,4,2,4,2
4,4,4,4,4,9,9,9
3,3,3,4,4,8,9,7
3,3,3,4,4,7,7,7
2,2,3,4,4,3,5,1
4,3,3,4,4,5,9,8
3,2,2,3,3,2,5,1
4,4,4,4,4,7,7,10
3,3,2,3,4,4,5,3
4,4,4,4,4,8,7,7
4,4,3,4,4,6,6,3
3,3,3,4,3,5,5,4
4,4,3,4,3,5,7,3
3,3,3,3,3,7,10,8
3,2,1,3,4,3,5,1
4,4,4,4,4,9,9,8
4,4,4,4,4,7,5,5
3,3,4,4,3,4,5,1
4,4,4,4,4,1,8,1
3,3,3,4,4,7,8,5
3,4,3,4,3,7,7,1
3,2,3,3,3,1,1,1
3,3,3,3,3,3,3,1
2,2,4,3,4,5,5,2
